Date,DoubleHeader,DayOfWeek,VisitingTeam,VisitingTeamLeague,VisitingTeamGameNumber,HomeTeam,HomeTeamLeague,HomeTeamGameNumber,VisitorRunsScored,HomeRunsScore,LengthInOuts,DayNight,CompletionInfo,ForfeitInfo,ProtestInfo,ParkID,Attendence,Duration,VisitorLineScore,HomeLineScore,VisitorAB,VisitorH,VisitorD,VisitorT,VisitorHR,VisitorRBI,VisitorSH,VisitorSF,VisitorHBP,VisitorBB,VisitorIBB,VisitorK,VisitorSB,VisitorCS,VisitorGDP,VisitorCI,VisitorLOB,VisitorPitchers,VisitorER,VisitorTER,VisitorWP,VisitorBalks,VisitorPO,VisitorA,VisitorE,VisitorPassed,VisitorDB,VisitorTP,HomeAB,HomeH,HomeD,HomeT,HomeHR,HomeRBI,HomeSH,HomeSF,HomeHBP,HomeBB,HomeIBB,HomeK,HomeSB,HomeCS,HomeGDP,HomeCI,HomeLOB,HomePitchers,HomeER,HomeTER,HomeWP,HomeBalks,HomePO,HomeA,HomeE,HomePassed,HomeDB,HomeTP,UmpireHID,UmpireHName,Umpire1BID,Umpire1BName,Umpire2BID,Umpire2BName,Umpire3BID,Umpire3BName,UmpireLFID,UmpireLFName,UmpireRFID,UmpireRFName,VisitorManagerID,VisitorManagerName,HomeManagerID,HomeManagerName,WinningPitcherID,WinningPitcherName,LosingPitcherID,LosingPitcherNAme,SavingPitcherID,SavingPitcherName,GameWinningRBIID,GameWinningRBIName,VisitorStartingPitcherID,VisitorStartingPitcherName,HomeStartingPitcherID,HomeStartingPitcherName,VisitorBatting1PlayerID,VisitorBatting1Name,VisitorBatting1Position,VisitorBatting2PlayerID,VisitorBatting2Name,VisitorBatting2Position,VisitorBatting3PlayerID,VisitorBatting3Name,VisitorBatting3Position,VisitorBatting4PlayerID,VisitorBatting4Name,VisitorBatting4Position,VisitorBatting5PlayerID,VisitorBatting5Name,VisitorBatting5Position,VisitorBatting6PlayerID,VisitorBatting6Name,VisitorBatting6Position,VisitorBatting7PlayerID,VisitorBatting7Name,VisitorBatting7Position,VisitorBatting8PlayerID,VisitorBatting8Name,VisitorBatting8Position,VisitorBatting9PlayerID,VisitorBatting9Name,VisitorBatting9Position,HomeBatting1PlayerID,HomeBatting1Name,HomeBatting1Position,HomeBatting2PlayerID,HomeBatting2Name,HomeBatting2Position,HomeBatting3PlayerID,HomeBatting3Name,HomeBatting3Position,HomeBatting4PlayerID,HomeBatting4Name,HomeBatting4Position,HomeBatting5PlayerID,HomeBatting5Name,HomeBatting5Position,HomeBatting6PlayerID,HomeBatting6Name,HomeBatting6Position,HomeBatting7PlayerID,HomeBatting7Name,HomeBatting7Position,HomeBatting8PlayerID,HomeBatting8Name,HomeBatting8Position,HomeBatting9PlayerID,HomeBatting9Name,HomeBatting9Position,AdditionalInfo,AcquisitionInfo
"20180329","0","Thu","COL","NL",1,"ARI","NL",1,2,8,51,"N","","","","PHO01",48703,216,"100001000","30000320x",33,9,0,0,2,2,1,0,0,2,0,12,0,0,2,0,7,5,8,8,0,0,24,8,0,0,0,0,36,12,2,1,0,8,0,0,0,6,0,11,2,0,0,0,10,6,2,2,1,0,27,10,0,0,2,0,"cedeg901","GaryCederstrom","coope901","EricCooper","blasc901","CoryBlaser","sches901","StuScheurwater","","(none)","","(none)","blacb001","BuddyBlack","lovut001","TonyLovullo","corbp001","PatrickCorbin","grayj003","JonGray","","(none)","lambj001","JakeLamb","grayj003","JonGray","corbp001","PatrickCorbin","blacc001","CharlieBlackmon",8,"lemad001","DJLeMahieu",4,"arenn001","NolanArenado",5,"stort001","TrevorStory",6,"gonzc001","CarlosGonzalez",9,"desmi001","IanDesmond",3,"parrg001","GerardoParra",7,"iannc001","ChrisIannetta",2,"grayj003","JonGray",1,"perad001","DavidPeralta",7,"polla001","A.J.Pollock",8,"goldp001","PaulGoldschmidt",3,"lambj001","JakeLamb",5,"martk001","KetelMarte",4,"avila001","AlexAvila",2,"ahmen001","NickAhmed",6,"dysoj001","JarrodDyson",9,"corbp001","PatrickCorbin",1,"","Y"
"20180329","0","Thu","PHI","NL",1,"ATL","NL",1,5,8,53,"D","","","","ATL03",40208,208,"100004000","000002033",31,6,2,0,1,5,0,0,1,6,0,11,1,0,2,0,6,6,7,7,0,0,26,11,1,1,0,0,34,9,1,0,3,7,1,0,1,4,1,6,0,0,0,0,6,6,5,5,1,0,27,9,0,0,2,0,"laynj901","JerryLayne","gibsg901","GregGibson","carav901","VicCarapazza","bakej902","JordanBaker","","(none)","","(none)","kaplg001","GabeKapler","snitb801","BrianSnitker","vizca001","ArodysVizcaino","nerih001","HectorNeris","","(none)","markn001","NickMarkakis","nolaa001","AaronNola","tehej001","JulioTeheran","hernc005","CesarHernandez",4,"santc002","CarlosSantana",3,"willn001","NickWilliams",9,"hoskr001","RhysHoskins",7,"altha001","AaronAltherr",8,"crawj002","J.P.Crawford",6,"franm004","MaikelFranco",5,"knapa001","AndrewKnapp",2,"nolaa001","AaronNola",1,"incie001","EnderInciarte",8,"albio001","OzzieAlbies",4,"freef001","FreddieFreeman",3,"markn001","NickMarkakis",9,"flowt001","TylerFlowers",2,"tuckp001","PrestonTucker",7,"swand001","DansbySwanson",6,"flahr001","RyanFlaherty",5,"tehej001","JulioTeheran",1,"","Y"
"20180329","0","Thu","SFN","NL",1,"LAN","NL",1,1,0,54,"D","","","","LOS03",53595,175,"000010000","000000000",34,8,2,0,1,1,0,0,0,2,0,11,0,0,1,0,8,5,0,0,1,0,27,11,0,0,2,0,31,6,0,0,0,0,0,0,0,5,0,10,2,0,2,0,9,4,1,1,0,0,27,9,0,0,1,0,"wegnm901","MarkWegner","reynj901","JimReynolds","dimum901","MikeDiMuro","tumpj901","JohnTumpane","","(none)","","(none)","bochb002","BruceBochy","robed001","DaveRoberts","blact002","TyBlach","kersc001","ClaytonKershaw","strih001","HunterStrickland","panij002","JoePanik","blact002","TyBlach","kersc001","ClaytonKershaw","jacka001","AustinJackson",8,"panij002","JoePanik",4,"mccua001","AndrewMcCutchen",9,"poseb001","BusterPosey",2,"longe001","EvanLongoria",5,"pench001","HunterPence",7,"beltb001","BrandonBelt",3,"crawb001","BrandonCrawford",6,"blact002","TyBlach",1,"taylc001","ChrisTaylor",8,"seagc001","CoreySeager",6,"puigy001","YasielPuig",9,"herne001","EnriqueHernandez",4,"bellc002","CodyBellinger",3,"kempm001","MattKemp",7,"grany001","YasmaniGrandal",2,"forsl001","LoganForsythe",5,"kersc001","ClaytonKershaw",1,"","Y"
"20180329","0","Thu","CHN","NL",1,"MIA","NL",1,8,4,54,"D","","","","MIA02",32151,198,"310100300","103000000",35,9,4,0,3,8,0,0,3,5,2,10,1,0,1,1,9,6,3,3,0,0,27,11,2,0,2,0,33,8,2,1,0,4,0,0,1,6,0,7,0,0,2,0,9,5,7,7,0,0,27,6,2,0,1,0,"vanol901","LarryVanover","wendh902","HunterWendelstedt","guccc901","ChrisGuccione","torrc901","CarlosTorres","","(none)","","(none)","maddj801","JoeMaddon","mattd001","DonMattingly","cishs001","SteveCishek","urenj001","JoseUrena","","(none)","contw001","WillsonContreras","lestj001","JonLester","urenj001","JoseUrena","happi001","IanHapp",8,"bryak001","KrisBryant",5,"rizza001","AnthonyRizzo",3,"contw001","WillsonContreras",2,"schwk001","KyleSchwarber",7,"russa002","AddisonRussell",6,"heywj001","JasonHeyward",9,"baezj001","JavierBaez",4,"lestj001","JonLester",1,"brinl001","LewisBrinson",8,"dietd001","DerekDietrich",7,"casts001","StarlinCastro",4,"bourj002","JustinBour",3,"andeb006","BrianAnderson",5,"coopg002","GarrettCooper",9,"rojam002","MiguelRojas",6,"wallc001","ChadWallach",2,"urenj001","JoseUrena",1,"","Y"
"20180329","0","Thu","SLN","NL",1,"NYN","NL",1,4,9,51,"D","","","","NYC20",44189,181,"020101000","12005001x",33,6,1,0,2,4,0,0,0,1,0,15,0,0,0,0,3,6,8,8,2,0,24,9,1,0,3,0,33,12,2,0,0,8,1,0,1,9,0,8,1,0,3,0,11,4,4,4,0,0,27,5,0,0,0,0,"culbf901","FieldinCulbreth","onorb901","BrianONora","buckc901","CBBucknor","conrc901","ChrisConroy","","(none)","","(none)","mathm001","MikeMatheny","callm001","MickeyCallaway","syndn001","NoahSyndergaard","martc006","CarlosMartinez","","(none)","gonza003","AdrianGonzalez","martc006","CarlosMartinez","syndn001","NoahSyndergaard","fowld001","DexterFowler",9,"phamt001","TommyPham",8,"carpm002","MattCarpenter",5,"ozunm001","MarcellOzuna",7,"martj008","JoseMartinez",3,"moliy001","YadierMolina",2,"dejop001","PaulDeJong",6,"wongk001","KoltenWong",4,"martc006","CarlosMartinez",1,"nimmb001","BrandonNimmo",8,"cespy001","YoenisCespedes",7,"brucj001","JayBruce",9,"cabra002","AsdrubalCabrera",4,"frazt001","ToddFrazier",5,"gonza003","AdrianGonzalez",3,"plawk001","KevinPlawecki",2,"syndn001","NoahSyndergaard",1,"rosaa003","AmedRosario",6,"","Y"
"20180329","0","Thu","MIL","NL",1,"SDN","NL",1,2,1,72,"D","","","","SAN02",44649,216,"001000000001","000000001000",42,10,2,0,0,2,0,0,1,2,0,9,1,1,3,0,7,6,1,1,0,0,36,12,1,0,2,0,39,6,0,0,0,1,0,0,0,6,1,15,1,1,2,0,8,6,2,2,0,0,36,20,0,0,3,0,"davig901","GerryDavis","carlm901","MarkCarlson","knigb901","BrianKnight","hobep901","PatHoberg","","(none)","","(none)","counc001","CraigCounsell","greea001","AndyGreen","jeffj001","JeremyJeffress","cimba001","AdamCimber","barnj002","JacobBarnes","arcio002","OrlandoArcia","andec001","ChaseAnderson","richc002","ClaytonRichard","cainl001","LorenzoCain",8,"yelic001","ChristianYelich",7,"braur002","RyanBraun",3,"shawt001","TravisShaw",5,"santd002","DomingoSantana",9,"pinam001","MannyPina",2,"villj001","JonathanVillar",4,"arcio002","OrlandoArcia",6,"andec001","ChaseAnderson",1,"margm001","ManuelMargot",8,"myerw001","WilMyers",9,"hosme001","EricHosmer",3,"pirej001","JosePirela",7,"asuac001","CarlosAsuaje",4,"headc001","ChaseHeadley",5,"galvf001","FreddyGalvis",6,"hedga001","AustinHedges",2,"richc002","ClaytonRichard",1,"","Y"
"20180329","0","Thu","MIN","AL",1,"BAL","AL",1,2,3,63,"D","","","","BAL12",45469,211,"00000000200","00000020001",40,8,0,0,0,2,0,0,0,3,0,11,2,0,1,0,8,5,3,3,2,0,30,9,0,0,1,0,34,5,1,1,1,3,1,0,0,5,2,13,1,0,1,0,7,5,2,2,1,0,33,11,0,1,1,0,"westj901","JoeWest","eddid901","DougEddings","fostm901","MartyFoster","rippm901","MarkRipperger","","(none)","","(none)","molip001","PaulMolitor","showb801","BuckShowalter","bleir001","RichardBleier","rodnf001","FernandoRodney","","(none)","jonea003","AdamJones","odorj001","JakeOdorizzi","bundd001","DylanBundy","dozib001","BrianDozier",4,"mauej001","JoeMauer",3,"sanom001","MiguelSano",5,"rosae001","EddieRosario",7,"morrl001","LoganMorrison",10,"escoe001","EduardoEscobar",6,"keplm001","MaxKepler",9,"buxtb001","ByronBuxton",8,"castj006","JasonCastro",2,"davic003","ChrisDavis",3,"machm001","MannyMachado",6,"schoj001","JonathanSchoop",4,"jonea003","AdamJones",8,"manct001","TreyMancini",7,"beckt001","TimBeckham",5,"alvap001","PedroAlvarez",10,"gentc001","CraigGentry",9,"josec002","CalebJoseph",2,"","Y"
"20180329","0","Thu","CHA","AL",1,"KCA","AL",1,14,7,54,"D","","","","KAN06",36517,206,"000530330","400000012",39,14,3,0,6,14,0,0,1,7,0,7,0,0,1,0,6,5,6,6,2,0,27,11,1,0,0,0,36,9,3,0,1,6,0,0,1,2,0,2,0,0,0,0,5,9,14,14,0,0,27,9,0,1,1,0,"gormb901","BrianGorman","iassd901","DanIassogna","johna901","AdrianJohnson","gibsh902","TrippGibson","","(none)","","(none)","rentr001","RichRenteria","yoste001","NedYost","shiej002","JamesShields","duffd001","DannyDuffy","","(none)","moncy001","YoanMoncada","shiej002","JamesShields","duffd001","DannyDuffy","moncy001","YoanMoncada",4,"garca003","AvisailGarcia",9,"abrej003","JoseAbreu",3,"davim005","MattDavidson",10,"delmn001","NickyDelmonico",7,"castw002","WelingtonCastillo",2,"andet001","TimAnderson",6,"sancc001","YolmerSanchez",5,"engea001","AdamEngel",8,"jay-j001","JonJay",7,"merrw001","WhitMerrifield",4,"mousm001","MikeMoustakas",5,"dudal001","LucasDuda",3,"cuthc001","CheslorCuthbert",10,"solej001","JorgeSoler",9,"gorda001","AlexGordon",8,"escoa003","AlcidesEscobar",6,"buted001","DrewButera",2,"","Y"
"20180329","0","Thu","ANA","AL",1,"OAK","AL",1,5,6,64,"D","","","","OAK01",27764,242,"02011100000","00004010001",46,13,2,1,3,5,0,0,0,1,0,7,0,0,0,0,9,7,6,6,0,0,31,9,0,0,1,0,42,12,1,1,2,6,0,0,0,5,1,11,0,0,1,0,10,5,5,5,0,0,33,10,0,0,0,0,"barrt901","TedBarrett","barkl901","LanceBarksdale","fairc901","ChadFairchild","littw901","WillLittle","","(none)","","(none)","sciom001","MikeScioscia","melvb001","BobMelvin","hatcc002","ChrisHatcher","ramin002","NoeRamirez","","(none)","semim001","MarcusSemien","richg002","GarrettRichards","gravk001","KendallGraveman","cozaz001","ZackCozart",4,"troum001","MikeTrout",8,"uptoj001","JustinUpton",7,"pujoa001","AlbertPujols",3,"calhk001","KoleCalhoun",9,"simma001","AndreltonSimmons",6,"valbl001","LuisValbuena",5,"ohtas001","ShoheiOhtani",10,"maldm001","MartinMaldonado",2,"joycm001","MattJoyce",7,"semim001","MarcusSemien",6,"lowrj001","JedLowrie",4,"davik003","KhrisDavis",10,"olsom001","MattOlson",3,"piscs001","StephenPiscotty",9,"chapm001","MattChapman",5,"lucrj001","JonathanLucroy",2,"poweb002","BoogPowell",8,"","Y"
"20180329","0","Thu","CLE","AL",1,"SEA","AL",1,1,2,51,"N","","","","SEA03",47149,155,"000000100","20000000x",30,5,1,0,0,1,0,0,2,2,0,8,2,0,2,1,7,1,2,2,0,0,24,11,0,0,2,0,28,6,1,0,1,2,0,0,0,1,0,8,0,0,2,0,3,6,1,1,0,1,27,8,1,0,2,0,"holbs901","SamHolbrook","marqa901","AlfonsoMarquez","wolfj901","JimWolf","reybd901","D.J.Reyburn","","(none)","","(none)","frant001","TerryFrancona","servs002","ScottServais","hernf002","FelixHernandez","klubc001","CoreyKluber","diaze006","EdwinDiaz","cruzn002","NelsonCruz","klubc001","CoreyKluber","hernf002","FelixHernandez","lindf001","FranciscoLindor",6,"kipnj001","JasonKipnis",4,"ramij003","JoseRamirez",5,"alony001","YonderAlonso",3,"encae001","EdwinEncarnacion",10,"chisl001","LonnieChisenhall",9,"gomey001","YanGomes",2,"naqut001","TylerNaquin",7,"zimmb001","BradleyZimmer",8,"gordd002","DeeGordon",8,"seguj002","JeanSegura",6,"canor001","RobinsonCano",4,"cruzn002","NelsonCruz",10,"seagk001","KyleSeager",5,"hanim001","MitchHaniger",9,"healr001","RyonHealy",3,"marjm001","MikeMarjama",2,"suzui001","IchiroSuzuki",7,"","Y"
